iter	Passed	Remaining
0	101	22690
1	178	19950
2	252	18721
3	328	18145
4	399	17569
5	473	17298
6	547	17042
7	622	16890
8	699	16799
9	773	16633
10	851	16556
11	925	16420
12	996	16247
13	1070	16134
14	1138	15945
15	1212	15839
16	1283	15700
17	1355	15586
18	1420	15405
19	1492	15301
20	1562	15177
21	1634	15081
22	1718	15095
23	1787	14969
24	1853	14825
25	1919	14694
26	1987	14572
27	2054	14451
28	2122	14344
29	2197	14282
30	2270	14206
31	2337	14097
32	2414	14045
33	2503	14061
34	2574	13975
35	2645	13889
36	2715	13799
37	2790	13730
38	2855	13618
39	2925	13528
40	2994	13439
41	3070	13379
42	3156	13361
43	3226	13272
44	3291	13167
45	3361	13080
46	3425	12973
47	3494	12886
48	3545	12735
49	3620	12673
50	3688	12582
51	3752	12483
52	3822	12403
53	3888	12313
54	3967	12262
55	4035	12178
56	4102	12093
57	4160	11979
58	4229	11899
59	4285	11785
60	4343	11677
61	4402	11575
62	4471	11497
63	4529	11393
64	4585	11288
65	4643	11187
66	4700	11083
67	4760	10991
68	4818	10894
69	4874	10794
70	4933	10701
71	4991	10606
72	5048	10512
73	5116	10440
74	5178	10357
75	5240	10274
76	5301	10189
77	5360	10102
78	5420	10017
79	5481	9935
80	5540	9849
81	5597	9761
82	5656	9678
83	5719	9600
84	5781	9522
85	5840	9440
86	5902	9362
87	5961	9281
88	6019	9198
89	6089	9133
90	6146	9051
91	6204	8970
92	6261	8887
93	6320	8808
94	6376	8725
95	6435	8647
96	6492	8567
97	6549	8487
98	6608	8410
99	6675	8343
100	6733	8267
101	6790	8188
102	6847	8111
103	6904	8033
104	6961	7956
105	7022	7883
106	7097	7826
107	7156	7753
108	7239	7704
109	7298	7629
110	7368	7567
111	7435	7501
112	7504	7437
113	7575	7376
114	7634	7302
115	7709	7244
116	7767	7169
117	7824	7094
118	7882	7020
119	7937	6944
120	7993	6870
121	8050	6796
122	8109	6724
123	8166	6651
124	8221	6577
125	8277	6503
126	8334	6431
127	8390	6358
128	8446	6285
129	8504	6214
130	8560	6142
131	8617	6071
132	8691	6011
133	8765	5952
134	8832	5888
135	8905	5827
136	8959	5755
137	9015	5683
138	9072	5613
139	9129	5542
140	9184	5471
141	9242	5402
142	9297	5331
143	9355	5262
144	9425	5200
145	9499	5140
146	9574	5080
147	9647	5019
148	9715	4955
149	9784	4892
150	9835	4820
151	9907	4758
152	9970	4692
153	10029	4624
154	10091	4557
155	10153	4491
156	10215	4424
157	10279	4358
158	10342	4292
159	10400	4225
160	10472	4163
161	10533	4096
162	10595	4030
163	10653	3962
164	10716	3897
165	10789	3834
166	10857	3770
167	10928	3707
168	10978	3637
169	11031	3569
170	11086	3501
171	11137	3432
172	11190	3363
173	11244	3295
174	11298	3228
175	11351	3160
176	11404	3092
177	11456	3024
178	11509	2957
179	11563	2890
180	11616	2823
181	11669	2757
182	11722	2690
183	11775	2623
184	11835	2558
185	11894	2494
186	11965	2431
187	12025	2366
188	12080	2301
189	12134	2235
190	12195	2170
191	12249	2105
192	12307	2040
193	12364	1975
194	12417	1910
195	12494	1848
196	12564	1785
197	12636	1723
198	12711	1660
199	12765	1595
200	12823	1531
201	12880	1466
202	12935	1401
203	12992	1337
204	13050	1273
205	13108	1209
206	13164	1144
207	13237	1081
208	13293	1017
209	13354	953
210	13411	889
211	13467	825
212	13526	762
213	13580	698
214	13639	634
215	13695	570
216	13750	506
217	13809	443
218	13864	379
219	13921	316
220	13980	253
221	14036	189
222	14093	126
223	14149	63
224	14226	0
